citeKey,filename,sourceNo,path,sourceFilePath_rel,species,genus,source_UUID,filename_drop,max_split_drop,specimenID_old,shotNo,specimenNo,view,microscopicTechnic,lens,DPI,institution,contributor,origin,digitizedDate,area_x_mm,area_y_mm,pixelSize_um_per_pixel,numericalAperature_NA,GPS_Alt,GPS_Lat,GPS_Long,sourceStoredLocally,institutionCode,samplingPoint,pixel_x,pixel_y,family,japName,specimenNo_old,order_old,section_drop,subgenus_drop,anatomy1_DS04,anatomy2_DS04,otherNo_drop,prepNo_drop,subspecies_drop,individuals_drop,n_individuals_drop,totalNumberShots,woodType,name_drop,todo_lens,filename_old,source_drop,todo_bitdepth_old,engName_old,_version_old,contributor_old,institution_old,view_old,raw_UUID
dasilva_2017,Tw26414_Tv_2_5x_1.jpg,DS01,Afzelia_africana/Tw26414_Tv_2_5x_1.jpg,Afzelia_africana/Tw26414_Tv_2_5x_1.jpg,AfzeliaAfricana,Afzelia,Afzelia_africana/Tw26414_Tv_2_5x_1.jpg,Tw26414_Tv_2_5x_1.jpg,5.0,Tw26414,1.0,1,TS,light microscopy,25.0,unknown,"University of Sao Paulo, USP",Rosa da Silva,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,RMCA,unknown,1500.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,,,r_fvAzP6
dasilva_2017,Tw425_M_laurentii_Tr_2_5x.jpg,DS01,Millettia_laurentii/Tw425_M_laurentii_Tr_2_5x.jpg,Millettia_laurentii/Tw425_M_laurentii_Tr_2_5x.jpg,MillettiaLaurentii,Millettia,Millettia_laurentii/Tw425_M_laurentii_Tr_2_5x.jpg,Tw425_M_laurentii_Tr_2_5x.jpg,6.0,Tw425,1.0,1,TS,light microscopy,25.0,unknown,"University of Sao Paulo, USP",Rosa da Silva,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,RMCA,unknown,1500.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,,,r_14nLO1
martins_2012,04409.png,DS07,,Hardwood/044 Micropholis guianensis/04409.png,MicropholisGuianensis,Micropholis,04409,,,,1.0,9,TS,light microscopy,25.0,unknown,UPFR,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,UPFR,unknown,768.0,1024.0,,,09,,,,,,,,,,,1.0,Hardwood,,,,,,,,,,,r_t5U2vK
martins_2012,08410.png,DS07,,Hardwood/084 Campomanesia xanthocarpa/08410.png,CampomanesiaXanthocarpa,Campomanesia,08410,,,,1.0,10,TS,light microscopy,25.0,unknown,UPFR,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,UPFR,unknown,768.0,1024.0,,,10,,,,,,,,,,,1.0,Hardwood,,,,,,,,,,,r_fNpDe0
martins_2012,01210.png,DS07,,Softwood/012 Fitzroya cupressoides/01210.png,FitzroyaCupressoides,Fitzroya,01210,,,,1.0,10,TS,light microscopy,25.0,unknown,UPFR,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,UPFR,unknown,768.0,1024.0,,,10,,,,,,,,,,,1.0,Softwood,,,,,,,,,,,r_6gt8Y2
unknown,,DS11,,,BurseraSimaruba,Bursera,297,,,,6.0,1,TLS,,,2400,"North Carolina State University, USA",Elisabeth Wheeler,,2004-10-09T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Burseraceae,,BWCw 8310,,,,,,,,,,,,Modern Hardwood,BURSERACEAE Bursera simaruba,010,BWCw_8310_ta_010.tif,Color digital original,24-bit color,"GUMBO-LIMBO,CHACÁH,CHACAH",1.823184699936211e+18,Elisabeth Wheeler,North Carolina State University,tangential section,r_AbRbuv
unknown,,DS11,,,CaesalpinioideaeGymnocladusDioicus,Caesalpinioideae,1202,,,,4.0,2,TS,,,2400,"Royal Botanic Gardens - Kew, UK",Peter Gasson,,2004-04-21T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,KEW,,,,Leguminosae,,Kw 7287,,,,,,,,,,,,Modern Hardwood,LEGUMINOSAE CAESALPINIOIDEAE Gymnocladus dioicus,004,Kw_7287_xa_004.tif,B & W negative,8-bit grayscale,KENTUCKY COFFEE TREE,1.8216445662524867e+18,Peter Gasson,Royal Botanic Gardens - Kew,cross section,r_mahHXm
unknown,,DS11,,,QuercusInfectoriaVeneris,Quercus,2065,,,,5.0,1,TS,,,2400,"Naturalis Biodiversity Center, The Netherlands",Pieter Baas,,2004-06-11T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NBC,,,,Fagaceae,,FWB Que.bos,,,,,,,,,,,,Modern Hardwood,FAGACEAE Quercus infectoria veneris,004,FWB_Que.bos_xa_004.tif,B & W negative,8-bit grayscale,,1.8216445662378066e+18,Pieter Baas,Naturalis Biodiversity Center,cross section,r_hq5uzG
unknown,,DS11,,,OcoteaTenella,Ocotea,2942,,,,4.0,1,TS,,,2400,"Wood Biology, University of Hamburg, Germany",H.G. Richter,,2004-05-11T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,BFH.UH,,,,Lauraceae,,RBHw 15.271,,,,,,,,,,,,Modern Hardwood,LAURACEAE Ocotea tenella,010,RBHw_15.271_xa_010.tif,Color slide,24-bit color,,1.8212821614544814e+18,H.G. Richter,"Wood Biology, University of Hamburg",cross section,r_v9r4tV
unknown,,DS11,,,PapilionoideaeDerrisTrifoliata,Papilionoideae,3806,,,,8.0,1,RLS,,,2400,"Royal Botanic Gardens - Kew, UK",Peter Gasson,,2004-06-16T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,KEW,,,,Leguminosae,,Kw 6336,,,,,,,,,,,,Modern Hardwood,LEGUMINOSAE PAPILIONOIDEAE Derris trifoliata,010,Kw_6336_ra_010.tif,B & W negative,8-bit grayscale,,1.82318470003268e+18,Peter Gasson,Royal Botanic Gardens - Kew,radial section,r_xKYoZt
